Jahr;Todesursache;Geschlecht;Anzahl
1982;Krankheiten der Haut und der Unterhaut;weiblich;608
1982;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;maennlich;879
1982;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;weiblich;2409
1982;Chronische Polyarthritis und Arthrose;maennlich;335
1982;Chronische Polyarthritis und Arthrose;weiblich;1176
1982;Krankheiten des Urogenitalsystems;maennlich;7032
1982;Krankheiten des Urogenitalsystems;weiblich;6863
1982;Krankheiten der Niere;maennlich;4491
1982;Krankheiten der Niere;weiblich;6203
1982;Schwangerschaft, Geburt und Wochenbett;maennlich;NA
1982;Schwangerschaft, Geburt und Wochenbett;weiblich;139
1982;Best.Zustaende mit Ursprung in der Perinatalperiode;maennlich;2563
1982;Best.Zustaende mit Ursprung in der Perinatalperiode;weiblich;1836
1982;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;maennlich;1868
1982;Angeb. Fehlbildungen,Deformitaeten,Chromosomenanom.;weiblich;1689
1982;Angeborene Fehlbildungen des Nervensystems;maennlich;315
1982;Angeborene Fehlbildungen des Nervensystems;weiblich;302
1982;Angeborene Fehlbildungen des Kreislaufsystems;maennlich;841
1982;Angeborene Fehlbildungen des Kreislaufsystems;weiblich;706
1982;Symptome und abnorme klinische und Laborbefunde;maennlich;8696
1982;Symptome und abnorme klinische und Laborbefunde;weiblich;10356
1982;Ploetzlicher Kindstod;maennlich;489
1982;Ploetzlicher Kindstod;weiblich;321
1982;Sonst. ungenau bezeichnete u. unbek. Todesursachen;maennlich;5829
1982;Sonst. ungenau bezeichnete u. unbek. Todesursachen;weiblich;4438
1982;Aeussere Ursachen von Morbiditaet und Mortalitaet;maennlich;33142
1982;Aeussere Ursachen von Morbiditaet und Mortalitaet;weiblich;21720
1982;Unfaelle einschliesslich Spaetfolgen;maennlich;19157
1982;Unfaelle einschliesslich Spaetfolgen;weiblich;14134
1982;Transportmittelunfaelle;maennlich;10113
1982;Transportmittelunfaelle;weiblich;3970
1982;Stuerze;maennlich;4159
1982;Stuerze;weiblich;7387
1982;Ertrinken und Untergehen;maennlich;848
1982;Ertrinken und Untergehen;weiblich;292
1982;Exposition gegenueber Rauch, Feuer und Flammen;maennlich;399
