"Name";"Trikotnummer";"Position";"Alter";"Groesse";"Gewicht"
"Braxton Berrios";10;"WR";26;175,26;86,18248
"Tarik Black";3;"WR";24;190,5;96,615096
"Lawrence Cager";15;"WR";24;195,58;99,79024
"Irvin Charles";NA;"WR";NA;193,04;98,429464
"Corey Davis";84;"WR";27;190,5;94,800728
"Calvin Jackson Jr";NA;"WR";NA;177,8;87,996848
"Denzel Mims";11;"WR";24;190,5;93,893544
"D.J. Montgomery";14;"WR";25;185,42;91,171992
"Elijah Moore";8;"WR";22;177,8;80,739376
"Jeff Smith";16;"WR";25;185,42;88,45044
"Garrett Wilson";NA;"WR";21;182,88;85,275296
"Tyler Conklin";83;"TE";26;190,5;112,490816
"Jeremy Ruckert";NA;"TE";21;195,58;114,305184
"C.J. Uzomah";87;"TE";29;198,12;117,93392
"Trevon Wesco";85;"TE";26;190,5;121,109064
"Kenny Yeboah";83;"TE";23;190,5;113,398
"Connor McGovern";60;"C";29;193,04;138,799152
"Ross Pierschbacher";66;"C";27;193,04;142,88148
"Dan Feeney";67;"G";28;193,04;140,61352
"Nate Herbig";NA;"G";23;193,04;151,499728
"Dru Samia";65;"G";24;195,58;139,706336
"Laken Tomlinson";75;"G";30;190,5;142,88148
"Alijah Vera-Tucker";75;"G";22;195,58;139,706336
"Mekhi Becton";77;"OT";23;200,66;164,653896
"Chuma Edoga";70;"OT";25;190,5;139,706336
"George Fant";76;"OT";29;195,58;146,056624
"Parker Ferguson";68;"OT";23;193,04;138,799152
"Grant Hermanns";63;"OT";24;200,66;136,0776
"Derrick Kelly";NA;"OT";26;195,58;145,14944
"Conor McDermott";69;"OT";29;203,2;140,61352
"Max Mitchell";NA;"OT";22;198,12;134,716824
"Greg Senat";68;"OT";27;198,12;138,34556
"Bradlee Anae";56;"DE";24;190,5;116,573144
"Micheal Clemons";NA;"DE";NA;195,58;122,46984
"Vinny Curry";99;"DE";33;190,5;126,552168
"John Franklin-Myers";91;"DE";25;193,04;130,634496
"Bryce Huff";47;"DE";24;190,5;115,66596
"Jermaine Johnson II";NA;"DE";23;195,58;118,841104
"Carl Lawson";58;"DE";26;187,96;120,20188
"Jacob Martin";54;"DE";26;187,96;109,769264
"Hamilcar Rashed Jr";55;"DE";24;187,96;113,851592
"Solomon Thomas";NA;"DE";26;190,5;127,00576
"Tim Ward";51;"DE";24;198,12;115,66596
"Jabari Zuniga";92;"DE";24;190,5;119,748288
"Jonathan Marshall";96;"DT";24;190,5;140,61352
"Sheldon Rankins";98;"DT";28;187,96;138,34556
"Nathan Shepherd";97;"DT";28;193,04;142,88148
"Tanzel Smart";79;"DT";27;185,42;133,80964
"Quinnen Williams";95;"DT";24;190,5;137,438376
"C.J. Mosley";57;"LB";29;187,96;113,398
"Hamsah Nasirildeen";45;"LB";23;190,5;97,52228
"Del'Shawn Phillips";43;"LB";25;187,96;104,32616
"Jamien Sherwood";44;"LB";22;187,96;97,975872
"DQ Thomas";NA;"LB";23;187,96;97,975872
"Quincy Williams";56;"LB";25;180,34;102,0582
"Michael Carter II";30;"CB";23;177,8;83,460928
"Isaiah Dunn";27;"CB";25;182,88;87,543256
"Brandin Echols";26;"CB";24;177,8;79,3786
"Ahmad Gardner";NA;"CB";21;190,5;90,7184
"Javelin Guidry";40;"CB";23;175,26;86,636072
"Bryce Hall";37;"CB";24;185,42;91,625584
"Justin Hardee";34;"CB";28;185,42;90,7184
"Jason Pinnock";41;"CB";22;182,88;92,98636
"D.J. Reed";NA;"CB";25;175,26;87,543256
"Rachad Wildgoose";29;"CB";21;177,8;86,636072
"Tony Adams";NA;"S";NA;182,88;92,98636
"Ashtyn Davis";21;"S";25;185,42;91,625584
"Lamarcus Joyner";29;"S";31;172,72;83,91452
"Jovante Moffatt";NA;"S";25;180,34;96,615096
"Kai Nacua";1;"S";27;182,88;92,98636
"Will Parks";39;"S";27;182,88;90,7184
"Elijah Riley";33;"S";23;182,88;92,98636
"Javin White";9;"S";25;187,96;95,707912
"Jordan Whitehead";NA;"S";25;177,8;89,811216
"Eddy Pineiro";15;"PK";26;182,88;83,91452
"Greg Zuerlein";NA;"PK";34;182,88;86,636072
"Braden Mann";7;"P";24;180,34;89,811216
"Thomas Hennessy";42;"LS";27;187,96;111,583632
"Josh Johnson";15;"QB";36;187,96;91,171992
"Brett Rypien";4;"QB";25;187,96;91,625584
"Russell Wilson";3;"QB";33;180,34;97,52228
"Mike Boone";26;"RB";26;177,8;93,439952
"Damarea Crockett";28;"RB";24;180,34;102,0582
"Melvin Gordon III";25;"RB";29;185,42;97,52228
"Tyreik McAllister";39;"RB";NA;180,34;81,64656
"Javonte Williams";33;"RB";22;177,8;99,79024
"Tyrie Cleveland";16;"WR";24;187,96;94,800728
"Kaden Davis";13;"WR";NA;NA;NA
"Travis Fulgham";17;"WR";26;187,96;97,52228
"KJ Hamler";1;"WR";22;175,26;80,739376
"Kendall Hinton";9;"WR";25;182,88;88,45044
"Jerry Jeudy";10;"WR";23;185,42;87,543256
"Brandon Johnson";36;"WR";23;187,96;88,45044
"Tim Patrick";81;"WR";28;193,04;96,161504
"Trey Quinn";NA;"WR";26;182,88;90,7184
"Courtland Sutton";14;"WR";26;193,04;97,975872
"Jalen Virgil";NA;"WR";NA;185,42;95,25432
"Montrell Washington";NA;"WR";NA;177,8;77,11064
"Seth Williams";19;"WR";22;187,96;95,707912
"Andrew Beck";83;"TE";26;190,5;115,66596
"Greg Dulcich";NA;"TE";22;193,04;111,13004
"Albert Okwuegbunam";85;"TE";24;195,58;117,026736
"Dylan Parham";48;"TE";NA;195,58;111,13004
"Eric Saubert";82;"TE";28;195,58;114,758776
"Eric Tomlinson";85;"TE";30;198,12;119,294696
"Rodney Williams II";NA;"TE";NA;193,04;106,59412
"Lloyd Cushenberry III";79;"C";24;190,5;141,520704
"Luke Wattenberg";NA;"C";NA;195,58;136,0776
"Ben Braden";64;"G";28;198,12;149,231768
"Tom Compton";66;"G";33;198,12;142,88148
"Graham Glasgow";61;"G";29;198,12;140,61352
"Zack Johnson";68;"G";25;198,12;136,531192
"Quinn Meinerz";77;"G";23;190,5;145,14944
"Netane Muti";52;"G";23;190,5;142,88148
"Dalton Risner";66;"G";26;195,58;141,520704
"Billy Turner";NA;"G";30;195,58;140,61352
"Sebastian Gutierrez";70;"OL";NA;198,12;139,706336
"Michael Niese";67;"OL";NA;195,58;133,80964
"Calvin Anderson";76;"OT";26;195,58;136,0776
"Quinn Bailey";75;"OT";26;198,12;146,510216
"Garett Bolles";72;"OT";30;195,58;136,0776
"Casey Tucker";NA;"OT";26;198,12;142,88148
"Dre'Mont Jones";93;"DE";25;190,5;127,459352
"Jonathan Kongbo";61;"DE";26;195,58;115,212368
"Marquiss Spencer";51;"DE";24;193,04;133,80964
"Eyioma Uwazurike";NA;"DE";24;198,12;145,14944
"McTelvin Agim";95;"DT";24;190,5;140,159928
"Jonathan Harris";92;"DT";25;195,58;133,80964
"Matt Henningsen";NA;"DT";NA;190,5;131,995272
"D.J. Jones";93;"DT";27;182,88;138,34556
"Mike Purcell";98;"DT";31;190,5;148,778176
"DeShawn Williams";90;"DT";29;185,42;132,448864
"Christopher Allen";45;"LB";NA;193,04;109,769264
"Nik Bonitto";NA;"LB";22;190,5;108,86208
"Baron Browning";56;"LB";23;190,5;108,86208
"Bradley Chubb";55;"LB";25;193,04;124,7378
"Jonathon Cooper";53;"LB";24;190,5;115,212368
"Randy Gregory";5;"LB";29;195,58;115,66596
"Jonas Griffith";50;"LB";25;193,04;113,398
"Josey Jewell";47;"LB";27;185,42;107,047712
"Kana'i Mauga";43;"LB";NA;187,96;111,13004
"Aaron Patrick";94;"LB";25;193,04;111,13004
"Malik Reed";59;"LB";25;187,96;106,59412
"Alex Singleton";NA;"LB";28;187,96;108,86208
"Justin Strnad";40;"LB";25;190,5;107,954896
